21, 0, 18, 255, 255, 255
22, 0, 18, 255, 255, 255
23, 0, 18, 255, 255, 255
24, 0, 18, 255, 255, 255
25, 0, 18, 255, 255, 255
20, 0, 19, 255, 255, 255
21, 0, 19, 255, 255, 255
22, 0, 19, 255, 255, 255
23, 0, 19, 255, 255, 255
24, 0, 19, 255, 255, 255
25, 0, 19, 255, 255, 255
26, 0, 19, 255, 255, 255
27, 0, 19, 255, 255, 255
19, 0, 20, 255, 255, 255
20, 0, 20, 255, 255, 255
21, 0, 20, 255, 255, 255
22, 0, 20, 255, 255, 255
23, 0, 20, 255, 255, 255
24, 0, 20, 255, 255, 255
25, 0, 20, 255, 255, 255
26, 0, 20, 255, 255, 255
27, 0, 20, 255, 255, 255
28, 0, 20, 255, 255, 255
18, 0, 21, 255, 255, 255
19, 0, 21, 255, 255, 255
20, 0, 21, 255, 255, 255
21, 0, 21, 255, 255, 255
22, 0, 21, 255, 255, 255
23, 0, 21, 255, 255, 255
24, 0, 21, 255, 255, 255
25, 0, 21, 255, 255, 255
26, 0, 21, 255, 255, 255
27, 0, 21, 255, 255, 255
28, 0, 21, 255, 255, 255
18, 0, 22, 255, 255, 255
19, 0, 22, 255, 255, 255
20, 0, 22, 255, 255, 255
21, 0, 22, 255, 255, 255
22, 0, 22, 255, 255, 255
23, 0, 22, 255, 255, 255
24, 0, 22, 255, 255, 255
25, 0, 22, 255, 255, 255
26, 0, 22, 255, 255, 255
27, 0, 22, 255, 255, 255
28, 0, 22, 255, 255, 255
18, 0, 23, 255, 255, 255
19, 0, 23, 255, 255, 255
20, 0, 23, 255, 255, 255
21, 0, 23, 255, 255, 255
22, 0, 23, 255, 255, 255
23, 0, 23, 255, 255, 255
24, 0, 23, 255, 255, 255
25, 0, 23, 255, 255, 255
26, 0, 23, 255, 255, 255
27, 0, 23, 255, 255, 255
28, 0, 23, 255, 255, 255
18, 0, 24, 255, 255, 255
19, 0, 24, 255, 255, 255
20, 0, 24, 255, 255, 255
21, 0, 24, 255, 255, 255
22, 0, 24, 255, 255, 255
23, 0, 24, 255, 255, 255
24, 0, 24, 255, 255, 255
25, 0, 24, 255, 255, 255
26, 0, 24, 255, 255, 255
27, 0, 24, 255, 255, 255
28, 0, 24, 255, 255, 255
18, 0, 25, 255, 255, 255
19, 0, 25, 255, 255, 255
20, 0, 25, 255, 255, 255
21, 0, 25, 255, 255, 255
22, 0, 25, 255, 255, 255
23, 0, 25, 255, 255, 255
24, 0, 25, 255, 255, 255
25, 0, 25, 255, 255, 255
26, 0, 25, 255, 255, 255
27, 0, 25, 255, 255, 255
28, 0, 25, 255, 255, 255
18, 0, 26, 255, 255, 255
19, 0, 26, 255, 255, 255
20, 0, 26, 255, 255, 255
21, 0, 26, 255, 255, 255
22, 0, 26, 255, 255, 255
23, 0, 26, 255, 255, 255
