50,0,90,orange,0
51,0,90,orange,0
52,0,90,orange,0
52,0,89,orange,0
53,0,89,orange,0
54,0,89,orange,0
55,0,89,orange,0
55,0,88,orange,0
56,0,88,orange,0
57,0,88,orange,0
57,0,87,orange,0
58,0,87,orange,0
59,0,87,orange,0
60,0,87,orange,0
60,0,86,orange,0
61,0,86,orange,0
62,0,86,orange,0
62,0,85,orange,0
63,0,86,orange,0
64,0,86,orange,0
65,0,86,orange,0
65,0,87,orange,0
64,0,87,orange,0
63,0,87,orange,0
62,0,87,orange,0
61,0,87,orange,0
59,0,88,orange,0
58,0,88,orange,0
56,0,89,orange,0
54,0,90,orange,0
53,0,90,orange,0
51,0,91,orange,0
50,0,91,orange,0
50,0,92,orange,0
49,0,92,orange,0
49,0,93,orange,0
50,0,93,orange,0
49,0,94,orange,0
48,0,94,orange,0
48,0,95,orange,0
47,0,95,orange,0
47,0,96,orange,0
48,0,96,orange,0
49,0,95,orange,0
47,0,97,orange,0
46,0,97,orange,0
46,0,98,orange,0
47,0,98,orange,0
46,0,99,orange,0
45,0,99,orange,0
45,0,100,orange,0
46,0,100,orange,0
45,0,101,orange,0
44,0,101,orange,0
44,0,102,orange,0
45,0,102,orange,0
44,0,103,orange,0
43,0,103,orange,0
43,0,104,orange,0
44,0,104,orange,0
43,0,105,orange,0
42,0,105,orange,0
42,0,106,orange,0
43,0,106,orange,0
42,0,107,orange,0
41,0,107,orange,0
41,0,108,orange,0
42,0,108,orange,0
41,0,109,orange,0
41,0,110,orange,0
40,0,110,orange,0
40,0,111,orange,0
40,0,112,orange,0
39,0,112,orange,0
39,0,113,orange,0
39,0,114,orange,0
38,0,114,orange,0
38,0,115,orange,0
38,0,116,orange,0
86,0,115,orange,0
86,0,114,orange,0
86,0,113,orange,0
85,0,113,orange,0
85,0,112,orange,0
85,0,111,orange,0
84,0,111,orange,0
84,0,110,orange,0
84,0,109,orange,0
84,0,108,orange,0
83,0,108,orange,0
83,0,107,orange,0
83,0,106,orange,0
82,0,106,orange,0
82,0,105,orange,0
82,0,104,orange,0
82,0,103,orange,0
81,0,103,orange,0
81,0,102,orange,0
80,0,102,orange,0
80,0,101,orange,0
80,0,100,orange,0
79,0,100,orange,0
79,0,99,orange,0
79,0,98,orange,0
78,0,98,orange,0
78,0,97,orange,0
78,0,96,orange,0
